keywords ,_realyear ,year ,_series ,_title ,_ref_code ,_source ,id 
  ,1625,1620,Band 11: Svenska planteboken (Örnehufvud) ,12. Borekholms huus På Öland Anno 1625. ,SE/KrA/0414/0011/0012 ,"Handritade Kartverk, Band 11: Svenska planteboken (Örnehufvud), SE/KrA/0414/0011/0012 (1625) ",K0024250_00001 
  ,1635,1630,Band 28: Topographica practica (Getkant) ,6. Mewae Situs Conscriptus Anno 1635. Quartir der Königlichen Artolleri wie sie A. 1635 Im Augusto dieses orts gelegen. [Mewe] ,SE/KrA/0414/0028/0007 ,"Handritade Kartverk, Band 28: Topographica practica (Getkant), SE/KrA/0414/0028/0007 (1635) ",K0024429_00001 
  ,1626,1620,"Band 12: Svenska och utländska slott, städer och fästen (Thomé) ",No 6. Marienburg Anno 1626. ,SE/KrA/0414/0012/0006 ,"Handritade Kartverk, Band 12: Svenska och utländska slott, städer och fästen (Thomé), SE/KrA/0414/0012/0006 (1626) ",K0024290_00001 
  ,1634,1630,Band 28: Topographica practica (Getkant) ,11. Delineatio Situs Pucensis Observata Anno 1634 20 Septemb:. [Putzig (NV Danzig/Gdansk) med kusten däromkring.] ,SE/KrA/0414/0028/0012 ,"Handritade Kartverk, Band 28: Topographica practica (Getkant), SE/KrA/0414/0028/0012 (1634) ",K0024434_00001 
  ,1648,1640,"Band 21: Ut- och inländska städer, slott, fästen m.m. (Dahlberg) ",N:o 38. Ritzen Berger Orth. ,SE/KrA/0414/0021/0055 ,"Handritade Kartverk, Band 21: Ut- och inländska städer, slott, fästen m.m. (Dahlberg), SE/KrA/0414/0021/0055 (1648) ",K0024400_00001 
  ,1680,1680,Band 13: Delineationer och grundritningar fästningar och fort (Dahlberg) ,406-407. Geometrisch Plaan och Delineation af Staden och fästningen Stralsundh. ,SE/KrA/0414/0013/0293 ,"Handritade Kartverk, Band 13: Delineationer och grundritningar fästningar och fort (Dahlberg), SE/KrA/0414/0013/0293 (1680) ",K0024386_00001 
  ,1699,1690,"Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias ",8. Planta De La Ciudad De Xeres De Los Cavalleros. ,SE/KrA/0414/0025/0009 ,"Handritade Kartverk, Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias, SE/KrA/0414/0025/0009 (1699) ",K0037912_00001 
  ,1648,1640,"Band 21: Ut- och inländska städer, slott, fästen m.m. (Dahlberg) ","N:o 73. Abriss des Dähnischen Lagers bey Mittel Farsundt, Welches von den Schwedischen Eingenommen undt Erobert Im Anfangk des Janüary Mon: Anno 1644. ",SE/KrA/0414/0021/0097 ,"Handritade Kartverk, Band 21: Ut- och inländska städer, slott, fästen m.m. (Dahlberg), SE/KrA/0414/0021/0097 (1648) ",K0024405_00001 
  ,1811,1810,"Band 32: Fästningar Västkusten och Skåne (Gillberg, Boman) ","2. Plan af Götheborgs Stad, och försvars Värck, sådane som de efter sista Nådiga approberade plan finnes. Stockholm den 24 April 1811. N: Ledergren Ritat af A. P. Boman. Lieutenant. ",SE/KrA/0414/0032/0002 ,"Handritade Kartverk, Band 32: Fästningar Västkusten och Skåne (Gillberg, Boman), SE/KrA/0414/0032/0002 (1811) ",K0038028_00001 
  ,1610,1610,Band 11: Svenska planteboken (Örnehufvud) ,8. Calmare Slott och Stadh. Anno. 1610. ,SE/KrA/0414/0011/0009 ,"Handritade Kartverk, Band 11: Svenska planteboken (Örnehufvud), SE/KrA/0414/0011/0009 (1610) ",K0024247_00001 
